,rent,dist,nrooms,age,size,noccup,price
0,624,17.0,2.0,age:41,52,3,226300.0
1,622,17.0,2.0,21,43,3,
2,544,,2.0,52,57,3,176050.0
3,'423',17.0,2.0,age:52,51,3,170650.0
4,288,to center = 17,2.0,52,44,3,171100.0
5,302,17.0,2.0,52,43,3,
6,,17.0,2.0,old,43 sq.m,3,149600.0
7,234,17.0,,52,36 sq.m,3,120700.00000000001
8,156,17.0,2.0,42,41,3,113350.0
9,276,17.0,2.0,age:52,44,3,130550.00000000001
10,'240',17.0,2.0,52,46,3,140750.0
11,,17.0,2.0,52,41,3,120900.00000000001
12,230,17.0,2.0,,47,3,106749.99999999999
13,200,17.0,2.0,52,40,3,95650.0
14,143,,2.0,52,40,3,79600.0
15,159,17.0,2.0,50,53,3,70000.0
16,208,17.0,2.0,52,48,3,
17,159,17.0,2.0,52,43,3,77750.0
18,149,17.0,,50,48,3,79350.0
19,195,17.0,2.0,52,51,3,81450.0
20,101,17.0,2.0,40,50,3,73750.0
21,128,17.0,2.0,42,51,3,79900.0
22,129,17.0,2.0,52,43,3,
23,163,close to center,2.0,52,53,3,49850.0
24,195,17.0,2.0,52,48,3,
25,180,17.0,2.0,41,54,3,53750.0
26,184,17.0,2.0,49,size:51,3,46900.0
27,135,17.0,2.0,age:52,56,3,52750.0
28,123,17.0,2.0,50,48,3,54450.0
29,126,close to center,2.0,52,51,3,66000.0
30,144,17.0,2.0,49,46,3,61150.00000000001
31,147,17.0,2.0,,53,3,57599.99999999999
32,'134',17.0,2.0,48,62,3,55200.00000000001
33,'103',17.0,2.0,49,46,3,52450.0
34,,17.0,2.0,51,47,3,54850.0
35,111,17.0,2.0,49,44,'3',48600.0
36,82,17.0,2.0,48,53,3,52250.0
37,105,close to center,2.0,52,45,3,51949.99999999999
38,261,17.0,2.0,52,45,3,95700.0
39,194,17.0,,52,40,3,88000.0
40,157,to center = 17,2.0,52,48,,77700.0
41,96,17.0,2.0,51,42,3,75000.0
42,'76',17.0,2.0,49,49,3,59400.0
