,ID,AGE,GENDER,RACE,DRIVING_EXPERIENCE,EDUCATION,INCOME,CREDIT_SCORE,VEHICLE_OWNERSHIP,VEHICLE_YEAR,MARRIED,CHILDREN,POSTAL_CODE,ANNUAL_MILEAGE,VEHICLE_TYPE,SPEEDING_VIOLATIONS,DUIS,PAST_ACCIDENTS,OUTCOME
0,569520,65+,female,majority,0-9y,high school,upper class,0.629027313918201,1.0,after 2015,0.0,1.0,10238,12000.0,sedan,0,0,0,0.0
1,750365,16-25,male,majority,0-9y,none,poverty,0.3577571170184627,0.0,before 2015,0.0,0.0,10238,16000.0,sedan,0,0,0,1.0
2,199901,16-25,female,majority,0-9y,high school,working class,0.4931457852181982,1.0,before 2015,0.0,0.0,10238,11000.0,sedan,0,0,0,0.0
3,478866,16-25,male,majority,0-9y,university,working class,0.2060128507324556,1.0,before 2015,0.0,none,32765,11000.0,sedan,0,0,0,0.0
4,731664,26-39,male,majority,10-19y,none,working class,0.3883658881572184,1.0,before 2015,0.0,0.0,32765.0,12000.0,sedan,2,0,1,1.0
5,877557,40-64,female,majority,20-29y,high school,upper class,0.6191273725847388,1.0,after 2015,0.0,1.0,10238,13000.0,sedan,3,0,3,0.0
6,930134,65+,male,majority,30y+,high school,upper class,0.4929435502195342,0.0,after 2015,1.0,1.0,10238,13000.0,sedan,7,0,3,0.0
7,461006,26-39,female,majority,0-9y,university,working class,0.468689297434465,0.0,after 2015,0.0,1.0,10238,14000.0,sedan,0,0,0,1.0
8,68366,40-64,female,majority,20-29y,university,working class,0.5218149362971065,0.0,before 2015,1.0,0.0,10238,13000.0,sedan,0,0,0,0.0
9,445911,40-64,female,majority,0-9y,,upper class,0.5615310319383646,1.0,before 2015,0.0,1.0,32765,11000.0,sedan,0,0,0,1.0
10,275820,65+,male,majority,30y+,high school,upper class,0.6203612640126029,1.0,after 2015,1.0,1.0,10238,10000.0,sedan,6,2,7,0.0
11,521399,65+,female,majority,30y+,high school,upper class,0.7298308815593941,1.0,after 2015,1.0,0.0,32765,12000.0,sedan,4,0,0,0.0
12,429728,40-64,male,majority,20-29y,high school,upper class,0.6370447435902447,1.0,before 2015,1.0,1.0,10238,none,sedan,4,1,2,0.0
13,569640,16-25,female,majority,0-9y,university,upper class,0.59125997174597,1.0,before 2015,0.0,1.0,10238,,sedan,0,0,0,0.0
14,980181,26-39,male,majority,10-19y,high school,middle class,0.4615679630439447,1.0,before 2015,1.0,1.0,10238,12000.0,sedan,0,2,1,0.0
15,906223,26-39,female,majority,0-9y,high school,upper class,0.7627979410816134,0.0,after 2015,1.0,0.0,10238,,sedan,0,0,0,0.0
16,517747,65+,male,majority,30y+,university,upper class,0.7961748462456987,1.0,before 2015,1.0,1.0,32765,,sedan,10,2,1,0.0
17,24851,16-25,male,majority,0-9y,none,poverty,,0.0,before 2015,1.0,0.0,32765,12000.0,sedan,0,0,0,1.0
18,104086,26-39,female,majority,0-9y,university,upper class,0.6805942795073384,1.0,before 2015,0.0,1.0,32765,,sedan,0,0,0,1.0
19,240658,16-25,female,majority,0-9y,high school,working class,0.4177139816231188,1.0,before 2015,0.0,1.0,10238,18000.0,sedan,0,0,0,1.0
20,484399,16-25,female,majority,0-9y,high school,working class,0.4095135306516067,0.0,before 2015,0.0,0.0,10238,17000.0,sedan,0,0,0,1.0
21,912828,16-25,male,majority,0-9y,high school,middle class,0.5532600531952381,1.0,after 2015,1.0,1.0,32765,8000.0,sedan,0,0,0,1.0
22,892754,40-64,male,majority,20-29y,none,poverty,0.3309502618581893,1.0,before 2015,,1.0,10238,13000.0,sedan,3,1,1,0.0
23,217,16-25,male,majority,0-9y,none,poverty,,0.0,before 2015,0.0,0.0,10238.0,17000.0,sedan,0,0,0,0.0
