GenderSelect,Country,Age,EmploymentStatus,StudentStatus,CurrentJobTitleSelect,CurrentEmployerType,LanguageRecommendationSelect,LearningDataScienceTime,FormalEducation,MajorSelect,EmployerIndustry,EmployerSize,RemoteWork,CompensationAmount,CompensationCurrency,JobSatisfaction
Female,United States,30.0,"Not employed, but looking for work",,,,Python,1-2 years,Master's degree,Computer Science,,,,,,
Male,Canada,28.0,"Not employed, but looking for work",,,,R,1-2 years,Master's degree,Engineering (non-computer focused),,,,,,
Male,United States,56.0,"Independent contractor, freelancer, or self-employed",,Operations Research Practitioner,Self-employed,Python,,Master's degree,Mathematics or statistics,Mix of fields,,,"250,000",USD,10 - Highly Satisfied
Male,Taiwan,38.0,Employed full-time,,Computer Scientist,Employed by a company that doesn't perform advanced analytics,Python,,Doctoral degree,Engineering (non-computer focused),Technology,"5,000 to 9,999 employees",Rarely,,,2
Male,Brazil,46.0,Employed full-time,,Data Scientist,Employed by college or university,Python,,Doctoral degree,Electrical Engineering,Academic,500 to 999 employees,Sometimes,,,8
Male,United States,35.0,Employed full-time,,Computer Scientist,Employed by government,R,,Master's degree,Electrical Engineering,Government,"10,000 or more employees",,,,8
Female,India,22.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,SQL,1-2 years,Bachelor's degree,Computer Science,Technology,,,,,
Female,Australia,43.0,Employed full-time,,Business Analyst,Employed by non-profit or NGO,Python,,Bachelor's degree,,Non-profit,20 to 99 employees,Rarely,80000,AUD,7
Male,Russia,33.0,Employed full-time,,Software Developer/Software Engineer,Employed by a company that doesn't perform advanced analytics,Python,,Bachelor's degree,Other,Internet-based,20 to 99 employees,Rarely,1200000,RUB,7
Female,Russia,20.0,"Not employed, and not looking for work",Yes,,,Python,< 1 year,Bachelor's degree,Computer Science,,,,,,
Male,India,27.0,Employed full-time,,Data Scientist,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Python,,Bachelor's degree,Electrical Engineering,Mix of fields,100 to 499 employees,Rarely,"95,000",INR,7
Male,Brazil,26.0,Employed full-time,,Engineer,Employed by college or university,R,1-2 years,Doctoral degree,Mathematics or statistics,Academic,,,,,
Male,Netherlands,54.0,Employed full-time,,,,,,,,,,,,,
Male,Taiwan,26.0,Employed full-time,,Software Developer/Software Engineer,Employed by professional services/consulting firm,Python,,Master's degree,Computer Science,Financial,Fewer than 10 employees,Sometimes,1100000,TWD,5
Male,United States,58.0,"Independent contractor, freelancer, or self-employed",,DBA/Database Engineer,Employed by professional services/consulting firm,R,,Master's degree,Mathematics or statistics,Technology,,Most of the time,"120,000",,5
Male,Italy,58.0,Employed full-time,,,,,,,,,,,,,
Male,United Kingdom,24.0,Employed full-time,,,,,,,,,,,,,
Male,United States,26.0,"Not employed, but looking for work",,,,Python,< 1 year,Bachelor's degree,Other,,,,,,
Male,Brazil,39.0,"Not employed, but looking for work",,,,Python,3-5 years,Master's degree,Electrical Engineering,,,,,,
Male,United States,49.0,"Independent contractor, freelancer, or self-employed",,Scientist/Researcher,Self-employed,Java,15+ years,Master's degree,Biology,Retail,,,,,
Male,United States,25.0,Employed part-time,,Researcher,Employed by college or university,Python,,Bachelor's degree,Physics,Academic,I don't know,Sometimes,20000,USD,6
Male,United States,33.0,Employed full-time,,Scientist/Researcher,Employed by professional services/consulting firm,Matlab,,Doctoral degree,Electrical Engineering,Telecommunications,Fewer than 10 employees,Sometimes,100000,USD,7
Male,Czech Republic,21.0,Employed part-time,,Other,Employed by college or university,Python,,Some college/university study without earning a bachelor's degree,Computer Science,Academic,Fewer than 10 employees,Always,20000,CZK,5
Male,United States,,Employed full-time,,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Matlab,,Master's degree,Engineering (non-computer focused),Other,500 to 999 employees,Sometimes,,,8
Male,Russia,22.0,Employed full-time,,Data Analyst,"Employed by professional services/consulting firm,Employed by a company that performs advanced analytics",Python,,Bachelor's degree,"Information technology, networking, or system administration",Mix of fields,"5,000 to 9,999 employees",Rarely,624000,RUB,8
Male,Netherlands,51.0,Employed full-time,,Engineer,Employed by a company that doesn't perform advanced analytics,R,,Master's degree,Biology,Pharmaceutical,"5,000 to 9,999 employees",Rarely,65000,,7
Male,Colombia,34.0,Employed full-time,,Data Scientist,Employed by a company that doesn't perform advanced analytics,Python,,Master's degree,Computer Science,Financial,"10,000 or more employees",Rarely,156000000,COP,9
Male,Germany,41.0,"Independent contractor, freelancer, or self-employed",,Data Scientist,Self-employed,Python,,I did not complete any formal education past high school,,Internet-based,,Sometimes,150000,EUR,8
Female,Canada,32.0,"Not employed, and not looking for work",Yes,,,C/C++/C#,3-5 years,Master's degree,Electrical Engineering,,,,,,
Male,Denmark,53.0,Employed full-time,,Business Analyst,"Employed by professional services/consulting firm,Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,,Some college/university study without earning a bachelor's degree,Mathematics or statistics,Technology,100 to 499 employees,Sometimes,,,6
Male,Poland,29.0,Employed full-time,,Software Developer/Software Engineer,Employed by company that makes advanced analytic software,Python,,Master's degree,Computer Science,Pharmaceutical,20 to 99 employees,Rarely,126000,PLN,9
Male,United Kingdom,36.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Doctoral degree,Electrical Engineering,Financial,"10,000 or more employees",Rarely,"130,000",GBP,7
Male,Russia,34.0,Employed full-time,,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,,Master's degree,Computer Science,Military/Security,"1,000 to 4,999 employees",Rarely,,,9
Male,United States,35.0,Employed full-time,,Engineer,Employed by a company that performs advanced analytics,Python,,Doctoral degree,Physics,Technology,"10,000 or more employees",Rarely,133000,USD,8
Female,South Africa,23.0,"Not employed, but looking for work",,,,SQL,3-5 years,Professional degree,,,,,,,
Male,Sweden,48.0,"Not employed, and not looking for work",No,,,C/C++/C#,3-5 years,Doctoral degree,Physics,,,,,,
Male,Sweden,37.0,Employed full-time,,Machine Learning Engineer,Employed by a company that performs advanced analytics,Python,,Master's degree,Electrical Engineering,Technology,"10,000 or more employees",Sometimes,80000,USD,9
Female,Canada,30.0,Employed full-time,,Other,Employed by professional services/consulting firm,Python,< 1 year,Master's degree,,Mix of fields,,,,,
Male,United States,43.0,Retired,,Software Developer/Software Engineer,Employed by a company that performs advanced analytics,Python,,Doctoral degree,Computer Science,Financial,,,,,
Male,United States,33.0,Employed full-time,,Operations Research Practitioner,Employed by company that makes advanced analytic software,,,Doctoral degree,Electrical Engineering,Technology,"5,000 to 9,999 employees",,,,
Male,United States,30.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Master's degree,Mathematics or statistics,CRM/Marketing,"1,000 to 4,999 employees",Rarely,,,6
Male,Portugal,30.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,Python,,Master's degree,Physics,Technology,"10,000 or more employees",Most of the time,30000,EUR,7
Female,United States,22.0,"Not employed, and not looking for work",Yes,,,R,< 1 year,Some college/university study without earning a bachelor's degree,Mathematics or statistics,,,,,,
Male,Other,28.0,Employed full-time,,Data Scientist,Employed by a company that performs advanced analytics,R,,Master's degree,A social science,Financial,500 to 999 employees,Never,28000,,8
Male,Mexico,26.0,Employed part-time,,Data Scientist,Employed by professional services/consulting firm,Python,,Some college/university study without earning a bachelor's degree,A social science,Technology,Fewer than 10 employees,Sometimes,200000,MXN,7
Male,New Zealand,34.0,"Independent contractor, freelancer, or self-employed",,Software Developer/Software Engineer,Self-employed,Python,< 1 year,Some college/university study without earning a bachelor's degree,Computer Science,Academic,,,,,
Female,,24.0,"Not employed, and not looking for work",Yes,,,Python,< 1 year,Bachelor's degree,Computer Science,,,,,,
Male,United States,27.0,Employed full-time,,Scientist/Researcher,"Employed by company that makes advanced analytic software,Employed by a company that performs advanced analytics",Python,,Doctoral degree,Mathematics or statistics,Mix of fields,100 to 499 employees,Never,,,9
Male,People 's Republic of China,25.0,"Not employed, and not looking for work",Yes,,,C/C++/C#,1-2 years,Doctoral degree,Electrical Engineering,,,,,,
Male,People 's Republic of China,24.0,"Not employed, but looking for work",,,,Python,< 1 year,Master's degree,A health science,,,,,,
